time,sv,doppler
2026-01-11 00:54:02.000,G01,-3636.887
2026-01-11 00:54:02.000,G12,-2272.847
2026-01-11 00:54:04.000,G01,-3638.072
2026-01-11 00:54:04.000,G12,-2274.567
2026-01-11 00:54:06.000,G01,-3638.296
2026-01-11 00:54:06.000,G12,-2275.352
2026-01-11 00:54:08.000,G01,-3637.694
2026-01-11 00:54:10.000,G01,-3639.471
2026-01-11 00:54:12.000,G01,-3640.123
2026-01-11 00:54:14.000,G01,-3640.867
2026-01-11 00:54:16.000,G01,-3639.696
2026-01-11 00:54:18.000,G01,-3640.347
2026-01-11 00:54:20.000,G01,-3641.163
2026-01-11 00:54:22.000,G01,-3641.142
2026-01-11 00:54:24.000,G01,-3642.885
2026-01-11 00:54:26.000,G01,-3643.263
2026-01-11 00:54:28.000,G01,-3644.274
2026-01-11 00:54:30.000,G01,-3643.679
2026-01-11 00:54:32.000,G01,-3643.023
2026-01-11 00:54:34.000,G01,-3644.977
2026-01-11 00:54:36.000,G01,-3644.9
2026-01-11 00:54:38.000,G01,-3645.245
2026-01-11 00:54:40.000,G01,-3645.615
2026-01-11 00:54:42.000,G01,-3645.389
2026-01-11 00:54:44.000,G01,-3646.256
2026-01-11 00:54:46.000,G01,-3646.258
2026-01-11 00:54:48.000,G01,-3646.65
2026-01-11 00:54:50.000,G01,-3647.901
2026-01-11 00:54:52.000,G01,-3647.76
2026-01-11 00:54:54.000,G01,-3649.088
2026-01-11 00:54:56.000,G01,-3649.06
2026-01-11 00:54:58.000,G01,-3648.596
2026-01-11 00:55:00.000,G01,-3649.221
2026-01-11 00:55:02.000,G01,-3649.813
2026-01-11 00:55:04.000,G01,-3649.866
2026-01-11 00:55:06.000,G01,-3650.252
2026-01-11 00:55:08.000,G01,-3650.479
2026-01-11 00:55:10.000,G01,-3651.723
2026-01-11 00:55:12.000,G01,-3651.726
2026-01-11 00:55:14.000,G01,-3652.853
2026-01-11 00:55:16.000,G01,-3652.692
2026-01-11 00:55:18.000,G01,-3653.112
2026-01-11 00:55:20.000,G01,-3653.51
2026-01-11 00:55:22.000,G01,-3654.287
2026-01-11 00:55:24.000,G01,-3655.046
